iter	Passed	Remaining
416	2637	3687
417	2643	3680
418	2648	3672
419	2654	3665
420	2660	3658
421	2666	3652
422	2672	3645
423	2678	3638
424	2683	3631
425	2689	3623
426	2694	3616
427	2700	3608
428	2705	3601
429	2711	3594
430	2717	3586
431	2722	3579
432	2728	3572
433	2734	3566
434	2740	3559
435	2746	3552
436	2752	3546
437	2758	3539
438	2764	3533
439	2770	3526
440	2777	3520
441	2782	3513
442	2789	3507
443	2794	3499
444	2800	3492
445	2806	3485
446	2812	3478
447	2817	3472
448	2823	3465
449	2829	3458
450	2835	3451
451	2840	3444
452	2846	3437
453	2852	3430
454	2858	3423
455	2863	3416
456	2869	3409
457	2875	3402
458	2881	3396
459	2887	3390
460	2893	3382
461	2899	3376
462	2904	3368
463	2909	3361
464	2915	3354
465	2921	3347
466	2926	3340
467	2932	3333
468	2938	3326
469	2944	3320
470	2951	3314
471	2956	3307
472	2963	3301
473	2969	3294
474	2975	3288
475	2981	3282
476	2987	3275
477	2993	3268
478	2998	3261
479	3004	3255
480	3010	3248
481	3016	3241
482	3022	3235
483	3028	3228
484	3034	3222
485	3040	3215
486	3046	3209
487	3052	3202
488	3057	3195
489	3063	3188
490	3069	3181
491	3076	3176
492	3082	3169
493	3087	3162
494	3093	3156
495	3099	3149
496	3105	3142
497	3110	3135
498	3116	3128
499	3122	3122
500	3128	3115
501	3133	3108
502	3139	3102
503	3146	3096
504	3153	3090
505	3159	3084
506	3165	3077
507	3170	3070
508	3175	3063
509	3181	3056
510	3186	3049
511	3192	3042
512	3198	3036
513	3204	3029
514	3209	3022
515	3215	3015
516	3220	3008
517	3225	3001
518	3231	2994
519	3236	2987
520	3242	2981
521	3248	2974
522	3254	2968
523	3260	2961
524	3265	2954
525	3271	2948
526	3277	2941
527	3283	2934
528	3288	2927
529	3294	2921
530	3299	2914
531	3305	2907
532	3310	2900
533	3316	2894
534	3322	2887
535	3327	2880
536	3333	2874
537	3339	2867
538	3345	2861
539	3351	2854
540	3357	2848
541	3363	2842
542	3369	2836
543	3375	2829
544	3380	2822
545	3386	2815
546	3391	2808
547	3396	2801
548	3402	2794
549	3407	2787
550	3412	2780
551	3417	2774
552	3423	2766
553	3428	2760
554	3433	2753
555	3438	2746
556	3444	2739
557	3449	2732
558	3454	2725
559	3460	2718
560	3466	2712
561	3473	2706
562	3478	2700
563	3484	2693
564	3490	2687
565	3495	2680
566	3501	2673
567	3507	2668
568	3514	2662
569	3520	2656
570	3527	2650
571	3534	2644
572	3540	2638
573	3547	2632
574	3554	2627
575	3560	2621
576	3569	2616
577	3578	2612
578	3584	2606
579	3590	2600
580	3597	2594
581	3603	2588
582	3610	2582
583	3616	2576
584	3623	2570
585	3629	2564
586	3636	2558
587	3643	2553
588	3649	2546
589	3655	2540
590	3662	2534
591	3668	2528
592	3674	2521
593	3680	2515
594	3686	2509
595	3692	2503
596	3699	2497
597	3705	2490
598	3711	2484
599	3717	2478
600	3722	2471
601	3729	2465
602	3735	2459
603	3741	2452
