iter	Logloss
0	0.6455499675
1	0.6031600221
2	0.5712688212
3	0.5292494714
4	0.4997977182
5	0.4655004897
6	0.4428314859
7	0.415413215
8	0.3902735227
9	0.3738694479
10	0.3532105115
11	0.3336750952
12	0.3160601143
13	0.3005025292
14	0.2911647999
15	0.2784886702
16	0.2651920898
17	0.255044308
18	0.2450762359
19	0.2369092158
20	0.2276999519
21	0.2219766473
22	0.2138822197
23	0.2076058444
24	0.2008124421
25	0.1949155373
26	0.18990585
27	0.184520401
28	0.1814345561
29	0.1771604807
30	0.1734609184
31	0.1702260209
32	0.1677716282
33	0.1655404897
34	0.1637872887
35	0.161852906
36	0.1595422093
37	0.1577082368
38	0.154744991
39	0.1520958922
40	0.1494262859
41	0.1470161414
42	0.1452667736
43	0.1435717824
44	0.1413884175
45	0.1403050706
46	0.1388253801
47	0.1371317873
48	0.1354310757
49	0.1341750238
50	0.1332605413
51	0.1314413172
52	0.1296964581
53	0.1284235485
54	0.1274278857
55	0.1260232319
56	0.1251633624
57	0.1240706178
58	0.1234806189
59	0.1227910433
60	0.1215428187
61	0.1203660768
62	0.1192593458
63	0.1184261683
64	0.1173171664
65	0.1162061986
66	0.1151561013
67	0.114479721
68	0.1134537455
69	0.1124753525
70	0.1118488545
71	0.1111616337
72	0.1102977704
73	0.1097201155
74	0.1092113327
75	0.1085200888
76	0.1077214147
77	0.1069901016
78	0.1065219974
79	0.1060520251
80	0.1053815486
81	0.1049793898
82	0.1041697979
83	0.1035594389
84	0.103126475
85	0.1024041922
86	0.1020035434
87	0.1013597031
88	0.1006936815
89	0.1002436759
90	0.09961442299
91	0.09928248197
92	0.09883184992
93	0.09830977561
94	0.09784622902
95	0.09726576067
96	0.09682451412
97	0.09633745382
98	0.09594563162
99	0.09554780812
100	0.09514664785
101	0.09460727725
102	0.0941119169
103	0.09376493304
104	0.09344518141
105	0.09309282195
106	0.0927737097
107	0.09253505605
108	0.09213409257
109	0.09180817909
110	0.09147922534
111	0.09119449702
112	0.09072973994
113	0.09046204549
114	0.09006641409
115	0.08985070298
116	0.08959347723
117	0.08937273846
118	0.08907656725
119	0.08879378082
120	0.08848420944
121	0.08818492057
122	0.08799510601
123	0.08776019486
124	0.0873992922
125	0.087186502
126	0.08692323013
127	0.08668145963
128	0.08650069536
129	0.08625103949
130	0.08591336644
